dataset,representation,ft_seed,head,backbone,calibration,score,alpha,rho_cal,rho_test,split_seed,n_eval,worst_group_acc,base_top1,marginal_cov,worst_group,worst_group_cov,mean_group_cov,cov_range,cov_gap,n_cal_worst_group,mean_set_size,worst_group_set_size,set_size_disparity,div_wasserstein1,div_ks_stat,div_ks_pvalue,rho_cal_realized,rho_test_realized
waterbirds,erm,0,erm,ft_erm,mondrian,RAPS,0.1,0.95,0.95,9,2622,0.49214659685863876,0.9481311975591151,0.898932112890923,1,0.8636363636363636,0.8893939393939394,0.05122307411464033,0.036363636363636376,66,0.9855072463768116,1.5454545454545454,0.93442862358525,0.16864140721301252,0.2924669227486129,2.2763438179592042e-05,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,0,2622,0.49214659685863876,0.9347826086956522,0.8935926773455377,2,0.3939393939393939,0.6928806133625411,0.5602774735304856,0.5060606060606061,66,0.9347826086956522,0.7121212121212122,0.2573566995253742,0.4028256089602453,0.6139208991321667,8.861443321137082e-24,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,1,2622,0.49214659685863876,0.954233409610984,0.9099923722349351,2,0.4696969696969697,0.7230376049653158,0.49255202628696604,0.4303030303030303,66,0.9363081617086194,0.803030303030303,0.20868930266520624,0.4110865160130899,0.6082301892161047,2.676757563258794e-23,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,2,2622,0.49214659685863876,0.9427917620137299,0.9134248665141114,2,0.4090909090909091,0.7320189850310331,0.5571741511500548,0.4909090909090909,66,0.9443173150266971,0.7878787878787878,0.18320554947060974,0.4704865315730368,0.6197894437331057,2.787008866558086e-24,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,3,2622,0.49214659685863876,0.9309687261632341,0.8756674294431731,2,0.3787878787878788,0.6726816356334429,0.5682000730193502,0.5212121212121212,66,0.9130434782608695,0.6818181818181818,0.28835341365461853,0.3933927014764743,0.6471759852041542,9.943919264276684e-27,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,4,2622,0.49214659685863876,0.9431731502669718,0.9191456903127384,2,0.5151515151515151,0.7529664110989412,0.45753924790069367,0.3848484848484849,66,0.96186117467582,0.8181818181818182,0.16495071193866373,0.3608589321955971,0.6435125906956893,2.163093021767249e-26,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,5,2622,0.49214659685863876,0.9435545385202135,0.92372234935164,2,0.3939393939393939,0.7302665206279664,0.5779481562614093,0.5060606060606061,66,0.958047292143402,0.7878787878787878,0.19123767798466595,0.45219901567662535,0.6459667093469911,1.2889996482211531e-26,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,6,2622,0.49214659685863876,0.9374523264683448,0.893211289092296,2,0.30303030303030304,0.6783315078495801,0.660825118656444,0.5969696969696969,66,0.933257055682685,0.6666666666666666,0.3076305220883534,0.4646037952446028,0.6733176838810642,3.101691467915116e-29,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,7,2622,0.49214659685863876,0.9378337147215866,0.8954996186117468,2,0.48484848484848486,0.7154070828769623,0.4782037239868565,0.41515151515151516,66,0.9366895499618612,0.7727272727272727,0.21591821832785685,0.3576204672847818,0.7108408023900982,3.732399930823595e-33,0.9496567505720824,0.9496567505720824
waterbirds,erm,0,erm,ft_erm,marginal_split,THR,0.1,0.95,0.95,8,2622,0.49214659685863876,0.9347826086956522,0.8954996186117468,2,0.3939393939393939,0.7225812340270171,0.5667031763417306,0.5060606060606061,66,0.933257055682685,0.7727272727272727,0.1991602774735305,0.4505882020659418,0.6017925736235595,9.165236943762281e-23,0.9496567505720824,0.9496567505720824
