backbone,dataset,method,train_seed,calibration,score,rho_test,split_seed,worst_group_rerun,worst_group_cov_rerun,cov_g0,n_g0,cov_g1,n_g1,cov_g2,n_g2,cov_g3,n_g3,cov_min_recomputed,argmin_recomputed
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,0,1,0.8636363636363636,0.8923694779116466,1245,0.8636363636363636,66,0.9090909090909091,66,0.8730923694779117,1245,0.8636363636363636,1
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,1,2,0.8636363636363636,0.9068273092369478,1245,0.9242424242424242,66,0.8636363636363636,66,0.8923694779116466,1245,0.8636363636363636,2
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,2,1,0.8787878787878788,0.9116465863453815,1245,0.8787878787878788,66,0.8939393939393939,66,0.885140562248996,1245,0.8787878787878788,1
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,3,1,0.8333333333333334,0.8979919678714859,1245,0.8333333333333334,66,0.8787878787878788,66,0.8835341365461847,1245,0.8333333333333334,1
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,4,1,0.8939393939393939,0.908433734939759,1245,0.8939393939393939,66,0.8939393939393939,66,0.8963855421686747,1245,0.8939393939393939,1
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,5,3,0.891566265060241,0.9156626506024096,1245,0.9242424242424242,66,0.9393939393939394,66,0.891566265060241,1245,0.891566265060241,3
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,6,2,0.803030303030303,0.9036144578313253,1245,0.8787878787878788,66,0.803030303030303,66,0.8698795180722891,1245,0.803030303030303,2
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,7,2,0.803030303030303,0.9020080321285141,1245,0.9696969696969697,66,0.803030303030303,66,0.885140562248996,1245,0.803030303030303,2
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,8,2,0.7878787878787878,0.9204819277108434,1245,0.9090909090909091,66,0.7878787878787878,66,0.8987951807228916,1245,0.7878787878787878,2
resnet50_erm,waterbirds,dfr,2,marginal_split,APS,0.95,9,3,0.8738955823293173,0.8867469879518072,1245,0.8787878787878788,66,0.9393939393939394,66,0.8738955823293173,1245,0.8738955823293173,3
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,0,0,0.8835341365461847,0.8835341365461847,1245,0.9393939393939394,66,0.9393939393939394,66,0.8835341365461847,1245,0.8835341365461847,0
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,1,2,0.803030303030303,0.8891566265060241,1245,0.9242424242424242,66,0.803030303030303,66,0.9100401606425703,1245,0.803030303030303,2
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,2,3,0.8867469879518072,0.8979919678714859,1245,0.9090909090909091,66,0.9090909090909091,66,0.8867469879518072,1245,0.8867469879518072,3
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,3,1,0.8333333333333334,0.8923694779116466,1245,0.8333333333333334,66,0.8484848484848485,66,0.8867469879518072,1245,0.8333333333333334,1
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,4,0,0.8867469879518072,0.8867469879518072,1245,0.9090909090909091,66,0.9848484848484849,66,0.908433734939759,1245,0.8867469879518072,0
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,5,3,0.9004016064257028,0.9108433734939759,1245,0.9090909090909091,66,0.9848484848484849,66,0.9004016064257028,1245,0.9004016064257028,3
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,6,3,0.8698795180722891,0.8979919678714859,1245,0.9090909090909091,66,0.9090909090909091,66,0.8698795180722891,1245,0.8698795180722891,3
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,7,2,0.803030303030303,0.9020080321285141,1245,0.9848484848484849,66,0.803030303030303,66,0.885140562248996,1245,0.803030303030303,2
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,8,3,0.8867469879518072,0.9293172690763052,1245,0.9242424242424242,66,0.9545454545454546,66,0.8867469879518072,1245,0.8867469879518072,3
resnet50_erm,waterbirds,dfr,2,mondrian,APS,0.95,9,0,0.8658634538152611,0.8658634538152611,1245,0.8939393939393939,66,1.0,66,0.9060240963855422,1245,0.8658634538152611,0
